Last Name,First Name,Email Address,Zipcode,City,State,Address,Homephone,Regdate
Abraham,Alyssa,durnetta@jumpstartlab.com,20008,Washington,DC,"3000 Cathedral Ave, NW",2406455000,1/21/09 0:06
Albeck,Ivey,bxll13@jumpstartlab.com,20008,Washington,DC,"4425 Reno Road, NW",6035627000,1/29/09 22:01
Alvarez,Juliette,luroberts05@jumpstartlab.com,20008,Washington,DC,"2727 29th Street NW, Apt. 323",9733323000,1/19/09 12:05
Amster,Maria,ckongwer@jumpstartlab.com,66046,Lawrence,DC,155 Indian Avenue,No valid phone number,1/30/09 14:16
Anderson,Alejandro,sydy0314@jumpstartlab.com,20016,Washington,DC,4400 Massachusetts Ave NW,9144417000,1/21/09 15:58
Arene-Morley,Megan,fhanchan@jumpstartlab.com,20057,Washington,DC,37th and O Streets NW,2022977000,1/30/09 14:44
Aroneanu,Wesley,efraguza@jumpstartlab.com,20052,Washington,DC,"2021 F St NW, Potomac #1006",9086723000,1/29/09 18:46
Aronoff,Lindsay,aslissanypirg@jumpstartlab.com,20008,Washington,DC,"3000 Cathedral Ave, NW",2406455000,1/20/09 23:50
Astrove,Zack,fkolfgan@jumpstartlab.com,20008,Washington,DC,"3000 Cathedral Ave, NW",2406455000,1/20/09 23:38
Avalos,Jennifer,deiaz@jumpstartlab.com,20010,Washington,DC,3168 17th St NW,4435044000,1/20/09 23:51
Ayers,Leah,vjstevens_2010@jumpstartlab.com,20016,Washington,DC,"3825 Wisconsin Avenue, NW",3016545000,1/21/09 16:36
B,Jenna,wdack.satin.feathers@jumpstartlab.com,20008,Washington,DC,"2727 29th Street NW, Apt. 305",9739021000,1/19/09 11:43
Baimas-George,Katie,svsullivan88@jumpstartlab.com,20009,Washington,DC,1123 Harvard St. unit R,6085169000,12/11/08 11:56
Baird,Stephanie,omani.sheva@jumpstartlab.com,20008,Washington,DC,"3000 Cathedral Ave, NW",2406455000,1/20/09 23:52
Barrett,Jenny,ym1106a@jumpstartlab.com,20016,Washington,DC,4201 Massachusetts Ave NW,5152314000,1/21/09 15:18
